name	prize	type
Q9Y297	1	terminal
Q92922	1	terminal
P62280	1	terminal
Q13616	1	terminal
P45985	1	terminal
P22087	1	terminal
P63244	1	terminal
O60684	1	terminal
A7MCY6	1	terminal
P33992	1	terminal
Q16584	1	terminal
P13498	1	terminal
Q12931	1	terminal
Q14644	1	terminal
Q9Y6Q6	1	terminal
P25963	1	terminal
O43318	1	terminal
O15111	1	terminal
Q8TEL6	1	terminal
Q13547	1	terminal
O15027	1	terminal
P61962	1	terminal
Q04206	1	terminal
P51665	1	terminal
P35998	1	terminal
Q12933	1	terminal
O14733	1	terminal
P68400	1	terminal
Q9GZS1	1	terminal
O00221	1	terminal
Q07890	1	terminal
Q13490	1	terminal
Q9UJF2	1	terminal
Q9H3M7	1	terminal
Q7KZI7	1	terminal
P55957	1	terminal
Q07889	1	terminal
P55211	1	terminal
P40222	1	terminal
P55210	1	terminal
P07900	1	terminal
P45984	1	terminal
P36578	1	terminal
Q99460	1	terminal
Q14790	1	terminal
Q13233	1	terminal
P52292	1	terminal
Q86UP2	1	terminal
Q99558	1	terminal
P63104	1	terminal
P42575	1	terminal
Q92636	1	terminal
Q9Y4K3	1	terminal
P78560	1	terminal
P24844	1	terminal
Q12824	1	terminal
P51532	1	terminal
Q12851	1	terminal
P42574	1	terminal
Q02750	1	terminal
Q02878	1	terminal
O60477	1	terminal
P17980	1	terminal
Q13489	1	terminal
P60510	1	terminal
Q9UNS2	1	terminal
P02511	1	terminal
O43823	1	terminal
P16278	1	terminal
Q86VP1	1	terminal
P20749	1	terminal
Q07817	1	terminal
P05186	1	terminal
Q92905	1	terminal
P62888	1	terminal
Q9UHD2	1	terminal
O60563	1	terminal
P63208	1	terminal
Q92844	1	terminal
O00232	1	terminal
Q8N668	1	terminal
Q9H9Y6	1	terminal
Q13576	1	terminal
P06737	1	terminal
Q9NR28	1	terminal
Q8WUF5	1	terminal
P51787	1	terminal
P08107	1	terminal
Q13077	1	terminal
Q8IV45	1	terminal
Q15008	1	terminal
P10599	1	terminal
Q16342	1	terminal
Q06124	1	terminal
Q969H0	1	terminal
Q92769	1	terminal
O00463	1	terminal
P49116	1	terminal
O75582	1	terminal
Q09472	1	terminal
P62993	1	terminal
P20333	1	terminal
P21333	1	terminal
Q8NFZ5	1	terminal
P04792	1	terminal
Q96Q05	1	terminal
Q16695	1	terminal
P62258	1	terminal
P28074	1	terminal
P31946	1	terminal
P23443	1	terminal
P33993	1	terminal
P19838	1	terminal
P62875	1	terminal
Q9BXW9	1	terminal
Q96RU7	1	terminal
O43242	1	terminal
Q969G6	1	terminal
P11142	1	terminal
P42704	1	terminal
O76080	1	terminal
Q9NYR9	1	terminal
O15160	1	terminal
O75530	1	terminal
O14920	1	terminal
Q96BH1	1	terminal
Q6GQQ9	1	terminal
P43405	1	terminal
P27348	1	terminal
Q15628	1	terminal
Q9UKB1	1	terminal
P31751	1	terminal
P28908	1	terminal
P60602	1	terminal
P42224	1	terminal
Q99704	1	terminal
Q05513	1	terminal
O14654	1	terminal
Q4VC05	1	terminal
P63279	1	terminal
P63165	1	terminal
Q9UHV9	1	terminal
Q99759	1	terminal
P06400	1	terminal
Q9Y2S0	1	terminal
O00571	1	terminal
O15519	1	terminal
P62277	1	terminal
P62837	1	terminal
P31749	1	terminal
P67775	1	terminal
P61077	1	terminal
Q92888	1	terminal
O14727	1	terminal
Q13049	1	terminal
O00505	1	terminal
P50750	1	terminal
Q13200	1	terminal
Q92896	1	terminal
Q04917	1	terminal
Q8TAQ2	1	terminal
P08238	1	terminal
Q9BYH8	1	terminal
P19793	1	terminal
O96019	1	terminal
Q8N5C8	1	terminal
P61981	1	terminal
Q05397	1	terminal
Q00653	1	terminal
Q16539	1	terminal
Q9BUZ4	1	terminal
O95429	1	terminal
Q9GZU2	1	terminal
P49427	1	terminal
Q13451	1	terminal
Q96CG3	1	terminal
P41279	1	terminal
Q13546	1	terminal
O60356	1	terminal
Q9NYS0	1	terminal
Q15750	1	terminal
Q9Y6X2	1	terminal
P35606	1	terminal
Q9UBN7	1	terminal
Q92851	1	terminal
Q9NYJ8	1	terminal
P19438	1	terminal
Q6Q0C0	1	terminal
P62191	1	terminal
Q92793	1	terminal
